Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of carbohydrate catabolic process (GO:0043470)	1/43	3.311495e-01	4.468971e-01	0	0	2.544659e+00	2.812319e+00	EP300
GO_Biological_Process_2021	substantia nigra development (GO:0021762)	1/43	3.311495e-01	4.468971e-01	0	0	2.544659e+00	2.812319e+00	ACTB
GO_Biological_Process_2021	DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	1/43	3.311495e-01	4.468971e-01	0	0	2.544659e+00	2.812319e+00	ATRX
GO_Biological_Process_2021	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	2/128	3.344308e-01	4.499335e-01	0	0	1.698413e+00	1.860314e+00	CENPN;CENPA
GO_Biological_Process_2021	protein polyubiquitination (GO:0000209)	4/314	3.346458e-01	4.499335e-01	0	0	1.382772e+00	1.513696e+00	BARD1;UBB;UBC;UBA52
GO_Biological_Process_2021	homotypic cell-cell adhesion (GO:0034109)	1/44	3.373832e-01	4.519308e-01	0	0	2.485355e+00	2.700427e+00	ACTB
GO_Biological_Process_2021	intracellular steroid hormone receptor signaling pathway (GO:0030518)	1/44	3.373832e-01	4.519308e-01	0	0	2.485355e+00	2.700427e+00	DAXX
GO_Biological_Process_2021	regulation of primary metabolic process (GO:0080090)	2/130	3.412089e-01	4.562089e-01	0	0	1.671705e+00	1.797518e+00	CREBBP;MACROH2A1
GO_Biological_Process_2021	regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	1/45	3.435592e-01	4.568135e-01	0	0	2.428747e+00	2.594863e+00	DOT1L
GO_Biological_Process_2021	regulation of DNA repair (GO:0006282)	1/45	3.435592e-01	4.568135e-01	0	0	2.428747e+00	2.594863e+00	H2AX
GO_Biological_Process_2021	regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	1/45	3.435592e-01	4.568135e-01	0	0	2.428747e+00	2.594863e+00	SMARCA4
GO_Biological_Process_2021	cellular response to metal ion (GO:0071248)	2/131	3.445900e-01	4.573419e-01	0	0	1.658662e+00	1.767138e+00	DAXX;LCE1D
GO_Biological_Process_2021	regulation of DNA metabolic process (GO:0051052)	1/46	3.496778e-01	4.615491e-01	0	0	2.374655e+00	2.495152e+00	MPHOSPH8
GO_Biological_Process_2021	regulation of double-strand break repair via homologous recombination (GO:0010569)	1/46	3.496778e-01	4.615491e-01	0	0	2.374655e+00	2.495152e+00	TP53BP1
GO_Biological_Process_2021	positive regulation of smooth muscle cell proliferation (GO:0048661)	1/46	3.496778e-01	4.615491e-01	0	0	2.374655e+00	2.495152e+00	DNMT1
GO_Biological_Process_2021	histone deacetylation (GO:0016575)	1/47	3.557397e-01	4.669893e-01	0	0	2.322914e+00	2.400862e+00	MSL3
GO_Biological_Process_2021	regulation of DNA binding (GO:0051101)	1/47	3.557397e-01	4.669893e-01	0	0	2.322914e+00	2.400862e+00	DOT1L
GO_Biological_Process_2021	positive regulation of neuron death (GO:1901216)	1/47	3.557397e-01	4.669893e-01	0	0	2.322914e+00	2.400862e+00	DAXX
GO_Biological_Process_2021	positive regulation of DNA repair (GO:0045739)	1/48	3.617455e-01	4.714445e-01	0	0	2.273376e+00	2.311601e+00	H2AX
GO_Biological_Process_2021	cellular response to ionizing radiation (GO:0071479)	1/48	3.617455e-01	4.714445e-01	0	0	2.273376e+00	2.311601e+00	RPL26
GO_Biological_Process_2021	cognition (GO:0050890)	1/48	3.617455e-01	4.714445e-01	0	0	2.273376e+00	2.311601e+00	LCE1D
GO_Biological_Process_2021	regulation of mitochondrion organization (GO:0010821)	1/48	3.617455e-01	4.714445e-01	0	0	2.273376e+00	2.311601e+00	EP300
GO_Biological_Process_2021	apoptotic process (GO:0006915)	3/231	3.637937e-01	4.732596e-01	0	0	1.408254e+00	1.423982e+00	ING4;EP300;MCM2
GO_Biological_Process_2021	adherens junction organization (GO:0034332)	1/49	3.676955e-01	4.749126e-01	0	0	2.225901e+00	2.227014e+00	ACTB
GO_Biological_Process_2021	regulation of cellular protein metabolic process (GO:0032268)	1/49	3.676955e-01	4.749126e-01	0	0	2.225901e+00	2.227014e+00	UHRF1
GO_Biological_Process_2021	response to unfolded protein (GO:0006986)	1/49	3.676955e-01	4.749126e-01	0	0	2.225901e+00	2.227014e+00	DAXX
GO_Biological_Process_2021	mitotic cytokinesis (GO:0000281)	1/49	3.676955e-01	4.749126e-01	0	0	2.225901e+00	2.227014e+00	CENPA
GO_Biological_Process_2021	regulation of cellular component organization (GO:0051128)	2/139	3.714239e-01	4.788715e-01	0	0	1.561171e+00	1.546201e+00	SSRP1;MLLT3
GO_Biological_Process_2021	regulation of generation of precursor metabolites and energy (GO:0043467)	1/50	3.735904e-01	4.805835e-01	0	0	2.180364e+00	2.146776e+00	EP300
GO_Biological_Process_2021	neuron projection morphogenesis (GO:0048812)	2/140	3.747486e-01	4.805835e-01	0	0	1.549779e+00	1.521108e+00	UBB;ACTB
GO_Biological_Process_2021	transcription initiation from RNA polymerase II promoter (GO:0006367)	2/140	3.747486e-01	4.805835e-01	0	0	1.549779e+00	1.521108e+00	KAT2B;CREBBP
GO_Biological_Process_2021	regulation of smoothened signaling pathway (GO:0008589)	1/51	3.794306e-01	4.840086e-01	0	0	2.136649e+00	2.070591e+00	CREBBP
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	1/51	3.794306e-01	4.840086e-01	0	0	2.136649e+00	2.070591e+00	EP300
GO_Biological_Process_2021	regulation of protein modification process (GO:0031399)	1/51	3.794306e-01	4.840086e-01	0	0	2.136649e+00	2.070591e+00	KAT2B
