Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
c2.cp.v2024.1.Hs.symbols.gmt,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,28/88,9.552383489474989e-33,8.936100683702408e-32,45.515240380343016,3355.771190772523,RPS4Y1;RPL26;RPL7;RPS8;RPS23;RPS2;RPL32;RPS6;RPL21;RPS15;RPL24;RPS18;RPL31;RPL17;RPL34;RPS24;RPL36;RPS17;FAU;RPL15;RPL3L;RPL27;RPL35A;RPL8;RPL7A;RPL35;UBA52;RPL29
c2.cp.v2024.1.Hs.symbols.gmt,WP_CYTOSINE_METHYLATION,1/8,0.09344781324806758,0.17043940781094088,16.254054054054055,38.52783190154746,DNMT1
c2.cp.v2024.1.Hs.symbols.gmt,WP_DNA_DAMAGE_RESPONSE,1/69,0.5717599498907047,0.6410195314496302,1.7716183336621292,0.9903985042160902,H2AX
c2.cp.v2024.1.Hs.symbols.gmt,WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR,4/81,0.017122079111557144,0.043052626667788196,4.780645161290322,19.444731457469032,MCM2;TP53BP1;H2AX;BARD1
c2.cp.v2024.1.Hs.symbols.gmt,WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM,2/55,0.14457405022051092,0.23867063319135579,3.8076347516729254,7.363826419431492,TP53BP1;H2AX
c2.cp.v2024.1.Hs.symbols.gmt,WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK,1/120,0.7718350565107176,0.8080583624119426,1.0116853254928568,0.26201072627343513,H2AX
c2.cp.v2024.1.Hs.symbols.gmt,WP_DNA_REPLICATION,3/42,0.014408468565289366,0.03741900791582612,7.271478588742257,30.830626750055615,UBA52;UBC;MCM2
c2.cp.v2024.1.Hs.symbols.gmt,WP_DUAL_HIJACK_MODEL_OF_VIF_IN_HIV_INFECTION,1/8,0.09344781324806758,0.17043940781094088,16.254054054054055,38.52783190154746,UBB
c2.cp.v2024.1.Hs.symbols.gmt,WP_EBOLA_VIRUS_INFECTION_IN_HOST,3/129,0.20818896131475909,0.3080346876595925,2.255907829450845,3.540216784391679,ACTB;CREBBP;EP300
c2.cp.v2024.1.Hs.symbols.gmt,WP_ECTODERM_DIFFERENTIATION,3/142,0.24996161598688438,0.3559005015906243,2.0436970944863875,2.8334795631987277,PHF8;TRIM33;H2BC9
c2.cp.v2024.1.Hs.symbols.gmt,WP_EFFECT_OF_PROGERIN_ON_GENES_INVOLVED_IN_PROGERIA,18/37,1.991085135885082e-25,1.6189196899252534e-24,85.7939284795472,4879.610975480616,H3C15;H3C10;H3C6;H3C4;CBX3;H3C13;H3C3;H3C12;H3C8;H3C14;H3C1;CHD4;CBX1;CBX5;H3-3B;H3C11;H3C2;H3C7
c2.cp.v2024.1.Hs.symbols.gmt,WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,1/84,0.6440645918990912,0.6986735597907846,1.4517451583319847,0.6387043702273558,RPS6
